2019,hotel,0-50 Days,1,1,100
2018,City Hotel,More than 201 Days,205,337,60
2019,hotel,51-200 Days,1,2,50
2020,City Hotel,More than 201 Days,1209,2417,50
2019,City Hotel,More than 201 Days,999,2160,46
2020,Resort Hotel,More than 201 Days,822,1961,41
2020,City Hotel,51-200 Days,3500,9097,38
2019,Resort Hotel,51-200 Days,2372,6383,37
2019,City Hotel,51-200 Days,4298,11715,36
2020,Resort Hotel,51-200 Days,1472,4046,36
2018,City Hotel,51-200 Days,535,1672,31
2019,Resort Hotel,More than 201 Days,666,2097,31
2018,Resort Hotel,More than 201 Days,156,546,28
2019,City Hotel,0-50 Days,3809,14201,26
2018,Resort Hotel,51-200 Days,671,2617,25
2020,City Hotel,0-50 Days,2130,8605,24
2019,Resort Hotel,0-50 Days,1611,9216,17
2020,Resort Hotel,0-50 Days,980,5565,17
2018,City Hotel,0-50 Days,681,4541,14
2018,Resort Hotel,0-50 Days,456,3598,12
