City Hotel,2018,Direct,857,41,4
City Hotel,2018,Online TA,2794,37,1
hotel,2019,Online TA,2,0,0
City Hotel,2020,Complementary,141,79,56
City Hotel,2020,Online TA,14332,67,0
City Hotel,2018,Corporate,388,83,21
Resort Hotel,2018,Corporate,454,42,9
Resort Hotel,2018,Direct,1289,37,2
Resort Hotel,2018,Online TA,2910,23,0
City Hotel,2020,Offline TA/TO,1924,27,1
Resort Hotel,2020,Complementary,60,8,13
Resort Hotel,2020,Groups,727,10,1
Resort Hotel,2020,Offline TA/TO,1764,68,3
Resort Hotel,2018,Groups,352,2,0
City Hotel,2019,Aviation,121,18,14
City Hotel,2019,Direct,2582,70,2
City Hotel,2019,Groups,1114,21,1
City Hotel,2019,Undefined,2,0,0
Resort Hotel,2020,Corporate,665,225,33
Resort Hotel,2020,Online TA,6240,178,2
City Hotel,2018,Groups,992,17,1
City Hotel,2018,Undefined,2,0,0
City Hotel,2019,Corporate,1314,526,40
hotel,2019,Groups,1,0,0
Resort Hotel,2019,Corporate,923,288,31
City Hotel,2020,Direct,2216,88,3
City Hotel,2019,Complementary,261,101,38
City Hotel,2019,Offline TA/TO,4173,73,1
Resort Hotel,2019,Complementary,99,7,7
Resort Hotel,2019,Direct,3184,283,8
Resort Hotel,2019,Groups,1310,20,1
Resort Hotel,2019,Offline TA/TO,3543,70,1
Resort Hotel,2019,Online TA,8637,166,1
City Hotel,2020,Aviation,106,45,42
City Hotel,2020,Corporate,570,290,50
City Hotel,2020,Groups,830,3,0
City Hotel,2018,Complementary,121,30,24
City Hotel,2018,Offline TA/TO,1396,39,2
Resort Hotel,2018,Complementary,31,3,9
Resort Hotel,2018,Offline TA/TO,1725,13,0
City Hotel,2019,Online TA,18509,131,0
Resort Hotel,2020,Direct,2116,280,13
